date,stars
2026-07-16,417
2026-08-10,696
2026-08-11,649
2026-08-12,659
2026-08-13,667
2026-08-14,679
2026-08-15,695
2026-08-16,661
2026-08-17,671
2026-08-18,683
2026-08-19,696
2026-08-20,712
2026-08-21,718
2026-08-22,725
2026-08-23,726
2026-08-24,730
2026-08-25,737
2026-08-26,745
2026-08-27,764
2026-08-28,781
2026-08-29,791
2026-08-30,807
2026-08-31,817
2026-09-01,829
2026-09-02,853
2026-09-03,865
2026-09-04,880
2026-09-05,887
2026-09-06,902
2026-09-07,912
2026-09-08,913
2026-09-09,914
2026-09-10,914
2026-09-11,914
2026-09-12,915
2026-09-13,915
2026-09-14,915
2026-09-15,914
2026-09-16,900
2026-09-17,898
2026-09-18,898
2026-09-19,898
2026-09-20,898
2026-09-21,899
2026-09-22,899
2026-09-23,900
2026-09-24,900
